orderid,custid,orderstatus,totalprice,orderdate,orderpriority,clerk,storeid,shippriority,ordercomment,orderqty,productid,discount
240155,1065,C,1302.33,2020-02-19,10,Fred Cold,3,3,In Stock,4,8,65.12
212789,1319,C,1145.00,2020-08-30,10,Auggie Sunshine,6,1,In Stock,1,9,19.08
327412,1182,C,1168.65,2020-05-04,10,May Flowers,9,4,In Stock,1,5,19.48
437610,1220,C,1276.28,2020-06-04,10,June Summer,7,2,In Stock,1,2,21.27
372131,1041,C,1108.01,2019-02-11,10,Fred Cold,9,4,In Stock,1,4,11.08
479780,1188,C,1324.90,2020-05-26,10,May Flowers,5,5,In Stock,2,5,33.12
266154,1474,C,1234.80,2020-12-18,10,Dee Winter,5,5,In Stock,2,7,15.44
150919,1389,C,1267.60,2020-10-07,10,Ossie Leaves,8,3,In Stock,1,5,12.68
447499,1209,C,1267.88,2020-05-30,10,May Flowers,8,3,In Stock,1,4,63.39
436752,1172,C,1434.30,2020-05-11,10,May Flowers,5,5,In Stock,2,4,23.90
492218,1098,C,1090.00,2020-03-06,10,Matt Winds,1,1,In Stock,10,8,10.90
300248,1098,C,1090.00,2020-03-16,10,Matt Winds,1,1,In Stock,10,9,54.50
200511,1211,C,1221.58,2020-06-01,10,June Summer,2,2,In Stock,6,5,20.36
218741,1130,C,1276.28,2020/04/14,10,April Rains,7,2,In Stock,1,5,12.76
357630,1003,C,1233.74,2019-01-21,10,Jack Snow,4,4,In Stock,3,6,30.84
420743,1303,C,1065.00,2020-08-15,10,Auggie Sunshine,6,1,In Stock,1,9,10.65
416114,1464,C,1179.68,2019-12-05,10,Dee Winter,10,5,In Stock,1,3,58.98
172430,1480,C,1397.83,2020-12-10,10,Dee Winter,8,3,In Stock,1,9,13.98
230771,1301,C,1163.14,2020-08-24,10,Auggie Sunshine,4,4,In Stock,2,4,29.08
160480,1018,C,1324.90,2020-01-16,10,Jack Snow,5,5,In Stock,2,1,13.25
492073,1013,C,1065.00,2020-01-25,10,Jack Snow,6,1,In Stock,1,6,26.62
163212,1112,C,1397.83,2020/03/31,10,Matt Winds,8,3,In Stock,1,2,17.47
150589,1239,C,1325.48,2020-06-30,10,June Summer,6,1,In Stock,2,5,33.14
258890,1359,C,1391.75,2020-09-30,10,Steve Fall,2,2,In Stock,6,6,69.59
203220,1352,C,1349.22,2020-09-08,10,Steve Fall,10,5,In Stock,1,5,22.49
313010,1041,C,1221.58,2020-02-01,10,Fred Cold,2,2,In Stock,6,8,12.22
462646,1266,C,1080.00,2020-07-16,10,Justin Heat,1,1,In Stock,10,3,54.00
369210,1460,C,1276.28,2019/12/04,10,Dee Winter,7,2,In Stock,1,3,63.81
167656,1286,C,1397.83,2020-07-31,10,Justin Heat,8,3,In Stock,1,9,69.89
