Product_Id,Product_Category,Product_Cost,Product_Name,Recomsale_Price,Serving_Size,Source_System,EFF_START_DTTM,EFF_END_DTTM,CURR_IND,LOAD_DTTM
99,Iced Tea,6.00,Online: Teavana Shaken Iced Black Tea Lemonade,5.40,VENTI,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
98,Iced Tea,6.00,Online: Teavana Shaken Iced Black Tea Lemonade,5.40,GRANDE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
97,Iced Tea,6.00,Online: Teavana Shaken Iced Black Tea Lemonade,5.40,LARGE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
96,Iced Tea,7.00,Online: Teavana Shaken Iced Black Tea,6.30,VENTI,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
95,Iced Tea,7.00,Online: Teavana Shaken Iced Black Tea,6.30,GRANDE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
94,Iced Tea,7.00,Online: Teavana Shaken Iced Black Tea,7.20,LARGE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
93,Iced Tea,2.00,Online: Nitro Lemon Fog,1.80,VENTI,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
92,Iced Tea,2.00,Online: Nitro Lemon Fog,2.70,GRANDE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
91,Iced Tea,2.00,Online: Nitro Lemon Fog,4.50,LARGE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
90,Evolution Fresh,7.00,Online: Evolution Fresh Watermelon,6.30,VENTI,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
9,Hot Brew,6.00,Online: Vanilla Creme,5.40,VENTI,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
89,Evolution Fresh,7.00,Online: Evolution Fresh Watermelon,6.30,GRANDE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
88,Evolution Fresh,6.00,Online: Evolution Fresh Watermelon,8.10,LARGE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
87,Evolution Fresh,7.00,Online: Evolution Fresh Organic Super Fruit Greens,6.30,VENTI,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
86,Evolution Fresh,7.00,Online: Evolution Fresh Organic Super Fruit Greens,6.30,GRANDE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
85,Evolution Fresh,7.00,Online: Evolution Fresh Organic Super Fruit Greens,7.20,LARGE,AZURE,2024-04-10 00:00:00,9999-12-31 23:59:59,Y,2024-04-10 03:52:39
